Percentilepoints,TotalHouseholdWealthGBP,TotalNetFinancialWealthGBP,TotalNetPropertyWealthGBP,TotalPhysicalWealthGBP,TotalPrivatePensionWealthGBP
1,-4434,-36030,0,2500,0
2,1833,-26248,0,2500,0
3,2510,-19932,0,2500,0
4,3100,-15638,0,2500,0
5,4600,-12732,0,2900,0
6,6680,-10497,0,4000,0
7,7520,-8605,0,6000,0
8,8366,-7421,0,7500,0
9,10200,-6295,0,7500,0
10,12550,-5426,0,7500,0
11,14500,-4590,0,7500,0
12,15219,-3786,0,7535,0
13,16478,-3160,0,8100,0
14,17900,-2476,0,8600,0
15,20360,-1984,0,9500,0
16,23061,-1529,0,10500,0
17,25288,-1180,0,12500,0
18,27827,-912,0,15000,0
19,30708,-659,0,15000,0
20,34550,-436,0,15000,0
21,37587,-267,0,15000,0
22,41760,-128,0,15000,0
23,45435,-10,0,15300,0
24,49500,0,0,15700,0
25,54710,17,0,16000,500
26,59872,60,0,16500,1236
27,64687,117,0,17000,2000
28,69350,200,0,17500,3000
29,75929,250,0,18200,4000
30,82362,312,0,19020,5000
31,88010,413,0,20100,6000
32,93653,505,0,21700,7476
33,100576,624,2000,23100,8643
34,107347,798,10000,25000,10000
35,114006,900,16000,25000,11576
36,121400,1080,20000,25000,13230
37,128150,1292,26000,25300,15000
38,133903,1501,30000,25900,17000
39,140678,1750,36000,26400,18850
40,146983,2000,40000,27000,20764
41,153679,2199,45000,27600,22904
42,161267,2500,50000,28400,25000
43,168906,2803,54000,29000,27450
44,176280,3107,60000,30000,29855
45,183885,3550,63000,31300,32448
46,192118,4000,68500,32510,34930
47,200095,4486,72000,34000,37416
48,207726,5000,77000,35000,40595
49,216008,5400,80000,35000,43797
50,225090,5867,85000,35300,47101
51,232514,6415,90000,36000,50340
52,240966,7047,94000,36700,53985
53,251327,7810,100000,37250,58222
54,260460,8500,100000,38000,61970
55,268899,9336,106000,38750,65700
56,279169,10145,110000,39500,69856
57,290502,11000,116000,40250,73829
58,300855,11700,120000,41400,77971
59,310284,12690,123850,42500,82416
60,321887,13765,130000,44000,87000
61,332968,14920,132000,45000,92225
62,344050,16000,140000,45000,97237
63,355583,17261,141000,45800,102276
64,368055,18750,149000,46510,108597
65,380885,20142,150000,47400,114368
66,393394,21500,153000,48050,120154
67,407459,23000,160000,49000,127932
68,422174,24700,162500,50000,135226
69,437275,26612,170000,51000,144288
70,451000,28661,175000,52020,152483
71,465628,30831,180000,53220,160831
72,483719,32981,183000,55000,169677
73,501478,35500,190000,56800,178462
74,518221,38020,200000,59100,186776
75,541424,40520,200000,62050,196918
76,562650,43500,201000,62500,207800
77,585268,47000,215000,63500,218960
78,607085,50490,220000,64500,232345
79,630163,55000,230000,65300,245656
80,657475,59700,240000,66200,262395
81,684232,63371,250000,67400,276822
82,713149,67960,250000,68500,294319
83,746132,73579,260000,69505,312615
84,773381,80000,275000,70900,328958
85,806180,85554,285000,72500,349364
86,846619,92250,300000,74500,375631
87,883876,101300,305000,77100,404652
88,933516,109500,325000,79600,434614
89,985553,120000,350000,83550,461925
90,1048537,131155,357000,87520,495980
91,1116103,144397,389000,90200,541534
92,1181879,158400,400000,93100,587565
93,1265510,180420,444000,97000,632435
94,1369910,208500,475000,102500,693016
95,1496960,241400,500000,109500,773900
96,1646370,282028,580000,122000,877580
97,1862687,348000,684000,150000,997000
98,2163215,456003,820000,165000,1170352
99,2872575,687100,1200000,206800,1513833
