percentle,Total income before tax,Total income after tax
1,10300,10200
2,10600,10500
3,10800,10700
4,11000,10800
5,11200,11000
6,11400,11200
7,11600,11300
8,11800,11500
9,12000,11700
10,12200,11800
11,12400,12000
12,12600,12200
13,12800,12400
14,13100,12500
15,13300,12700
16,13500,12900
17,13700,13000
18,13900,13200
19,14100,13400
20,14400,13600
21,14600,13800
22,14800,13900
23,15000,14100
24,15300,14300
25,15500,14500
26,15700,14700
27,16000,14900
28,16200,15100
29,16400,15200
30,16700,15400
31,16900,15600
32,17200,15800
33,17400,16000
34,17700,16200
35,17900,16400
36,18200,16700
37,18400,16900
38,18700,17100
39,19000,17300
40,19300,17500
41,19500,17700
42,19800,18000
43,20100,18200
44,20400,18500
45,20700,18700
46,21100,19000
47,21400,19200
48,21700,19500
49,22000,19800
50,22400,20000
51,22700,20300
52,23000,20600
53,23400,20900
54,23800,21200
55,24200,21500
56,24600,21800
57,24900,22100
58,25400,22500
59,25800,22800
60,26200,23100
61,26600,23500
62,27100,23800
63,27500,24200
64,28000,24600
65,28500,25000
66,29000,25400
67,29500,25900
68,30100,26300
69,30700,26800
70,31300,27300
71,31900,27800
72,32500,28300
73,33200,28800
74,33800,29400
75,34500,29900
76,35200,30500
77,35900,31100
78,36800,31800
79,37600,32500
80,38500,33200
81,39400,34000
82,40400,34800
83,41300,35600
84,42000,36400
85,43100,37200
86,44400,38100
87,45900,38800
88,47400,39800
89,49400,41000
90,51400,42300
91,54000,43900
92,57000,45800
93,60700,48200
94,65400,51100
95,71700,55100
96,80300,60600
97,92900,68600
98,112000,78900
99,162000,108000
